FIPS,2014 RPL_THEME3,2015 RPL_THEME3,2016 RPL_THEME3,2017 RPL_THEME3,2018 RPL_THEME3,2019 RPL_THEME3,2020 RPL_THEME3
06007,78.26,78.26,78.26,78.9,79.53,73.04,66.55
06009,56.8,53.33,49.86,50.6,51.35,52.87,54.39
06011,98.38,98.38,98.38,98.43,98.47,96.53,94.59
06013,95.22,95.38,95.54,95.59,95.64,93.4,91.15
06015,84.5,83.72,82.94,81.56,80.17,79.09,78.01
06017,69.69,70.23,70.77,70.07,69.37,64.22,59.07
06019,98.92,98.96,99.01,98.96,98.92,97.86,96.79
06021,94.91,95.16,95.42,95.42,95.42,91.3,87.17
06023,71.38,71.95,72.52,73.55,74.59,69.38,64.16
06025,99.84,99.84,99.84,99.84,99.84,99.62,99.4
06027,85.07,84.9,84.72,85.04,85.35,81.68,78.01
06029,97.99,97.96,97.93,97.96,97.99,96.62,95.26
06031,98.25,98.24,98.22,98.25,98.28,97.06,95.83
06033,81.5,82.47,83.44,83.32,83.19,76.24,69.29
06035,80.64,80.61,80.58,79.45,78.32,76.04,73.77
06037,99.33,99.32,99.3,99.32,99.33,98.34,97.36
06039,98.47,98.44,98.41,98.44,98.47,96.77,95.07
06041,84.18,84.37,84.56,84.36,84.15,75.81,67.47
06043,59.12,59.39,59.66,60.73,61.8,59.18,56.56
06045,87.97,88.03,88.09,88.25,88.41,81.68,74.95
06047,99.11,99.1,99.08,99.14,99.2,98.2,97.2
06049,79.43,78.32,77.2,77.71,78.22,68.73,59.23
06051,90.04,90.0,89.97,88.8,87.62,80.7,73.77
06053,99.24,99.24,99.24,99.27,99.3,97.92,96.53
06055,94.59,94.62,94.65,94.78,94.91,90.72,86.54
06057,59.79,58.98,58.17,56.71,55.24,50.65,46.05
06059,97.26,97.28,97.29,97.26,97.23,94.81,92.39
06061,75.87,75.72,75.58,74.98,74.37,70.27,66.17
06063,55.91,55.62,55.33,55.02,54.7,53.04,51.37
06065,97.45,97.44,97.42,97.39,97.36,96.02,94.68
06067,95.42,95.45,95.48,95.42,95.35,93.0,90.64
06069,97.87,97.84,97.8,97.76,97.71,96.39,95.07
06071,98.03,98.14,98.25,98.25,98.25,97.63,97.01
06073,95.86,95.78,95.7,95.66,95.61,92.7,89.78
06075,97.77,97.7,97.64,97.53,97.42,94.9,92.39
06077,98.19,98.14,98.09,98.1,98.12,97.14,96.15
06079,84.62,84.75,84.88,84.46,84.05,77.14,70.24
06081,97.1,97.12,97.13,96.98,96.82,95.04,93.25
06083,96.69,96.66,96.63,96.68,96.72,93.65,90.58
06085,98.22,98.2,98.19,98.17,98.15,97.18,96.21
06087,93.38,93.34,93.31,93.28,93.25,87.6,81.95
06089,63.71,62.21,60.71,61.36,62.02,59.21,56.4
06091,66.7,61.54,56.38,41.42,26.46,31.64,36.82
06093,68.51,69.7,70.9,70.09,69.28,65.42,61.55
06095,95.61,95.59,95.57,95.68,95.8,94.86,93.92
06097,89.68,89.62,89.56,89.68,89.81,83.26,76.7
06099,96.72,96.75,96.78,96.9,97.01,94.56,92.11
06101,96.12,96.16,96.21,96.32,96.43,93.02,89.62
06103,84.34,84.74,85.13,84.91,84.69,77.97,71.26
06105,35.69,44.56,53.42,53.23,53.04,53.72,54.39
06107,99.11,99.14,99.17,99.22,99.27,98.1,96.94
06109,61.54,59.29,57.05,56.05,55.05,55.23,55.41
06111,96.21,96.28,96.34,96.31,96.28,93.03,89.78
06113,95.26,95.16,95.07,95.02,94.97,92.16,89.34
06115,92.93,92.6,92.26,92.64,93.03,89.16,85.3
08001,94.62,94.57,94.52,94.48,94.43,91.26,88.1
08003,90.89,90.78,90.67,91.99,93.31,91.06,88.8
08005,89.11,89.08,89.05,89.26,89.46,84.69,79.92
08007,59.73,60.53,61.32,61.78,62.24,61.48,60.73
08009,54.28,58.12,61.95,64.98,68.0,57.79,47.58
08011,88.86,88.38,87.9,85.52,83.13,82.68,82.24
08013,74.66,73.83,73.0,72.28,71.57,65.32,59.07
08014,72.72,71.04,69.37,69.5,69.63,65.04,60.44
08015,59.82,55.44,51.07,47.7,44.32,44.84,45.35
08017,66.13,62.82,59.5,64.4,69.31,59.31,49.3
08019,22.54,25.08,27.63,37.98,48.33,42.84,37.36
08021,92.8,93.12,93.44,92.6,91.75,90.82,89.88
08023,93.41,95.48,97.55,97.71,97.87,96.42,94.97
08025,92.01,89.96,87.9,86.48,85.07,85.3,85.52
08027,13.31,29.82,46.32,50.92,55.52,49.82,44.11
08029,61.92,63.82,65.71,66.07,66.44,60.13,53.82
08031,94.3,94.08,93.86,93.84,93.82,89.46,85.11
08033,17.29,13.58,9.87,11.28,12.7,34.29,55.89
08035,55.97,53.7,51.42,50.86,50.3,51.52,52.74
08037,89.27,89.0,88.73,88.8,88.86,80.54,72.22
08039,40.82,40.8,40.78,30.52,20.25,30.4,40.55
08041,75.71,75.55,75.39,75.39,75.39,72.77,70.15
08043,79.08,72.9,66.73,67.19,67.65,62.1,56.56
08045,87.62,87.24,86.85,86.85,86.85,78.88,70.91
08047,16.11,24.67,33.24,30.44,27.63,35.65,43.67
08049,47.31,49.5,51.7,52.52,53.33,48.37,43.41
08051,50.14,51.48,52.82,43.54,34.26,38.18,42.11
08053,2.77,4.95,7.13,10.58,14.04,28.19,42.33
08055,59.38,51.77,44.16,57.82,71.47,74.47,77.47
08057,62.02,62.53,63.04,65.38,67.72,53.53,39.34
08059,65.55,65.85,66.16,66.82,67.49,62.82,58.15
08061,30.21,31.01,31.81,35.1,38.4,26.42,14.45
08063,80.23,81.52,82.81,81.69,80.58,69.36,58.15
08065,88.41,88.65,88.89,87.85,86.82,79.26,71.71
08067,55.36,54.3,53.23,50.62,48.01,53.02,58.02
08069,57.12,55.79,54.47,57.14,59.82,55.77,51.72
08071,83.03,82.08,81.12,82.96,84.81,85.36,85.9
08073,85.74,85.54,85.35,85.42,85.48,77.24,69.0
08075,75.01,74.84,74.66,76.09,77.52,69.28,61.04
08077,56.03,56.97,57.91,58.86,59.82,56.72,53.63
08079,14.07,23.74,33.4,30.34,27.28,39.22,51.15
08081,68.64,69.34,70.04,69.9,69.75,62.58,55.41
08083,52.85,54.28,55.71,55.54,55.36,60.48,65.6
08085,76.47,77.65,78.83,79.66,80.48,70.81,61.14
08087,92.9,92.8,92.71,92.88,93.06,87.12,81.19
08089,88.83,88.6,88.38,88.5,88.63,87.44,86.25
08091,39.22,36.94,34.67,33.92,33.17,26.31,19.45
08093,23.81,22.25,20.69,20.16,19.64,29.04,38.45
08095,87.36,81.25,75.14,79.46,83.79,76.72,69.64
08097,53.68,52.28,50.88,50.14,49.41,48.11,46.82
08099,88.95,89.28,89.62,89.97,90.32,85.52,80.71
08101,85.2,83.12,81.03,78.54,76.06,81.4,86.73
08103,67.3,56.21,45.11,52.37,59.63,54.02,48.41
08105,89.88,90.69,91.5,91.76,92.01,89.32,86.63
08107,55.59,57.48,59.38,57.15,54.92,46.43,37.94
08109,93.12,92.61,92.1,91.82,91.53,85.94,80.36
08111,70.58,49.41,28.24,35.54,42.85,52.58,62.32
08113,60.33,51.5,42.66,49.61,56.57,50.5,44.43
08115,36.87,44.03,51.19,53.28,55.36,56.14,56.91
08117,76.09,75.91,75.74,75.5,75.26,64.44,53.63
08119,29.07,29.48,29.89,32.58,35.28,39.0,42.71
08121,51.35,47.28,43.2,47.02,50.84,46.58,42.33
08123,86.28,86.2,86.12,85.84,85.55,79.48,73.42
08125,82.78,83.04,83.29,83.83,84.37,73.82,63.27
09001,90.19,90.16,90.13,90.45,90.77,84.52,78.26
09003,88.16,88.32,88.48,88.76,89.05,84.2,79.34
09005,50.65,51.24,51.83,52.78,53.74,46.41,39.08
09007,56.35,57.19,58.04,58.23,58.42,54.12,49.81
09009,86.21,86.28,86.34,86.55,86.76,81.97,77.18
09011,75.39,74.4,73.42,74.5,75.58,69.04,62.51
09013,47.79,47.44,47.09,48.56,50.02,49.28,48.54
09015,67.14,68.64,70.14,70.1,70.07,60.94,51.81
10001,73.13,73.57,74.02,76.1,78.19,78.48,78.77
10003,86.09,86.06,86.02,85.53,85.04,83.8,82.56
10005,78.51,78.13,77.75,77.27,76.79,69.74,62.7
11001,91.15,91.64,92.14,92.18,92.23,93.14,94.05
12001,74.24,74.37,74.5,75.32,76.15,77.53,78.9
12003,30.28,39.67,49.06,49.04,49.03,52.8,56.56
12005,61.6,62.48,63.36,65.2,67.05,64.16,61.27
12007,57.94,53.98,50.02,50.67,51.32,57.98,64.64
12009,67.65,68.66,69.66,69.58,69.5,66.62,63.75
12011,96.56,96.82,97.07,97.14,97.2,95.8,94.4
12013,69.6,67.96,66.32,62.22,58.13,58.52,58.91
12015,56.45,58.92,61.38,62.86,64.34,56.68,49.01
12017,41.58,42.96,44.35,46.24,48.14,43.61,39.08
12019,65.74,68.59,71.44,72.84,74.24,69.98,65.72
12021,91.56,91.56,91.56,91.76,91.95,84.23,76.51
12023,57.66,55.07,52.47,53.92,55.36,60.65,65.95
12027,95.13,94.94,94.75,94.74,94.72,89.7,84.69
12029,36.96,33.9,30.85,32.51,34.16,41.19,48.22
12031,87.52,87.76,88.0,88.68,89.37,87.96,86.54
12033,72.81,71.18,69.56,71.06,72.56,73.85,75.14
12035,78.73,77.18,75.64,76.74,77.84,70.56,63.27
12037,65.46,63.78,62.11,61.98,61.86,61.23,60.6
12039,92.55,92.64,92.74,93.2,93.66,94.6,95.54
12041,54.76,52.87,50.97,54.84,58.71,50.86,43.0
12043,90.8,90.42,90.04,90.52,90.99,85.24,79.5
12045,56.57,57.13,57.69,54.33,50.97,54.42,57.86
12047,83.64,85.14,86.63,87.16,87.68,86.34,85.01
12049,96.91,96.53,96.15,95.67,95.19,92.1,89.02
12051,98.92,98.92,98.92,98.88,98.85,97.39,95.93
12053,64.15,65.18,66.22,65.68,65.14,62.55,59.96
12055,86.41,86.54,86.66,86.42,86.18,79.32,72.47
12057,93.7,93.81,93.92,94.26,94.59,91.5,88.42
12059,39.64,38.61,37.57,39.72,41.87,42.15,42.43
12061,77.11,76.57,76.03,75.63,75.23,68.77,62.32
12063,76.44,75.85,75.26,75.18,75.1,74.15,73.2
12065,70.9,70.46,70.01,67.06,64.12,71.92,79.73
12067,86.88,86.56,86.25,86.26,86.28,79.44,72.6
12069,75.23,75.55,75.87,76.04,76.22,72.87,69.51
12071,87.14,87.12,87.11,87.4,87.68,79.99,72.31
12073,72.46,71.9,71.35,70.12,68.9,76.02,83.13
12075,58.48,60.84,63.2,63.5,63.8,60.18,56.56
12077,78.64,79.16,79.69,75.86,72.02,67.09,62.16
12079,80.29,77.4,74.5,73.7,72.91,79.21,85.52
12081,83.13,82.43,81.73,81.84,81.95,74.54,67.12
12083,74.63,72.6,70.58,70.28,69.98,69.24,68.49
12085,76.66,76.79,76.92,76.9,76.89,67.29,57.7
12086,99.75,99.73,99.71,99.7,99.68,99.3,98.92
12087,86.79,86.87,86.95,87.06,87.17,80.16,73.14
12089,27.86,32.25,36.64,38.87,41.1,41.76,42.43
12091,71.44,72.12,72.81,71.96,71.12,67.96,64.8
12093,91.28,90.79,90.29,90.2,90.1,83.3,76.51
12095,95.38,95.58,95.77,96.07,96.37,94.54,92.71
12097,97.64,97.76,97.87,98.04,98.22,97.17,96.12
12099,93.0,93.12,93.25,93.52,93.79,89.58,85.36
12101,72.91,73.08,73.26,73.44,73.61,68.96,64.32
12103,76.98,77.14,77.3,77.3,77.3,70.68,64.07
12105,89.33,89.49,89.65,90.13,90.61,86.1,81.6
12107,75.93,76.2,76.47,77.24,78.0,72.37,66.74
12109,47.44,47.71,47.98,47.72,47.47,49.64,51.81
12111,89.11,89.67,90.23,90.24,90.26,86.41,82.56
12113,45.91,47.66,49.41,50.0,50.59,51.42,52.26
12115,66.79,66.64,66.48,67.18,67.88,59.36,50.83
12117,83.86,84.28,84.69,85.61,86.53,83.32,80.11
12119,62.24,58.96,55.68,54.86,54.03,49.94,45.86
12121,77.08,76.65,76.22,74.35,72.49,67.16,61.84
12123,58.1,61.51,64.92,62.0,59.09,62.7,66.3
12125,53.96,54.54,55.11,50.97,46.83,58.0,69.16
12127,72.46,72.04,71.63,70.98,70.33,68.73,67.12
12129,47.21,48.4,49.6,42.02,34.45,45.22,55.98
12131,65.62,63.52,61.41,59.07,56.73,52.36,47.99
12133,49.03,52.32,55.62,56.56,57.5,58.36,59.23
13001,65.11,70.95,76.79,79.16,81.53,75.59,69.64
13003,93.86,93.73,93.6,93.78,93.95,88.62,83.29
13005,78.61,76.74,74.88,77.33,79.78,72.11,64.45
13007,42.12,61.03,79.94,73.76,67.59,77.57,87.56
13009,75.52,71.38,67.24,69.04,70.84,78.62,86.41
13011,57.75,60.0,62.24,61.52,60.81,49.94,39.08
13013,77.68,78.07,78.45,79.04,79.62,74.12,68.62
13015,69.09,70.03,70.96,71.24,71.51,66.39,61.27
13017,73.7,69.76,65.81,68.84,71.86,77.92,83.99
13019,65.33,61.6,57.88,54.41,50.94,51.68,52.42
